AT4G34190	-0.32	-0.18	0.10	0.21
AT3G63540	-0.15	-0.09	-0.08	0.22
AT5G08410	-0.18	-0.10	0.00	0.19
AT3G16140	-0.23	-0.18	0.00	0.25
AT2G40300	-0.16	-0.01	0.01	0.12
AT1G55480	-0.81	-0.51	-0.07	0.43
AT1G11750	-0.04	0.01	-0.10	0.10
AT4G02260	-0.23	-0.09	0.07	0.15
AT2G26550	0.08	-0.23	-0.04	0.11
AT4G28660	-0.80	-0.44	0.12	0.34
AT1G77090	-0.47	-0.22	0.16	0.21
AT3G54110	0.10	-0.07	-0.10	0.05
AT5G11450	-0.18	-0.08	0.03	0.15
AT1G27730	-0.02	0.12	-0.01	-0.13
AT3G56090	-0.04	-0.06	0.04	0.05
AT2G18790	-0.02	-0.08	0.12	-0.05
AT5G45930	-0.16	-0.24	0.00	0.24
AT1G49975	-0.14	-0.14	0.01	0.18
AT5G54190	0.33	0.17	-0.43	-1.42
AT4G17600	-0.31	-0.19	0.06	0.23
AT1G64810	-0.09	0.00	-0.02	0.09
AT5G16440	0.08	-0.08	-0.01	-0.01
AT3G22840	-0.90	0.05	0.40	-0.65
AT4G30720	0.03	0.02	-0.07	0.02
AT1G03630	-0.37	-0.09	0.19	0.09
AT1G76550	0.01	-0.02	0.04	-0.03
AT2G28605	-0.63	-0.21	0.17	0.23
AT4G01037	-0.12	-0.21	0.08	0.16
AT2G39470	-0.55	-0.54	-0.05	0.41
AT5G23440	-0.08	-0.18	-0.03	0.20
AT5G15802	-0.08	0.04	0.01	0.03
AT1G30510	0.01	0.09	-0.07	-0.04
AT1G12000	0.05	0.04	-0.09	-0.01
AT3G56650	-0.29	-0.10	-0.02	0.24
AT4G14690	-0.47	-0.03	0.36	-0.36
AT4G05390	0.02	0.03	0.12	-0.26
AT1G20950	0.11	0.00	-0.11	-0.02
AT3G03630	-0.12	-0.07	0.08	0.08
AT1G61800	-0.22	-0.27	0.39	-0.39
AT3G14395	-0.41	0.18	0.25	-0.49
AT2G30790	-0.62	0.23	0.01	0.02
AT1G08650	0.04	0.12	0.05	-0.36
AT1G17290	-0.05	-0.02	0.09	-0.04
AT1G23730	-0.10	-0.27	-0.27	0.33
AT1G53240	-0.06	-0.04	0.06	0.03
AT1G53310	0.03	0.03	0.01	-0.07
AT1G67090	-0.42	-0.35	0.05	0.31
AT1G70410	-0.04	-0.08	-0.08	0.16
AT1G72330	-0.14	-0.03	0.16	-0.05
AT2G13560	0.03	0.02	-0.09	0.03
AT2G22500	-0.13	0.21	0.11	-0.43
AT2G26900	-0.16	-0.12	-0.06	0.22
AT2G30970	-0.04	-0.05	0.02	0.05
AT2G37250	-0.12	0.00	-0.11	0.17
AT2G42600	-0.23	-0.12	0.11	0.14
AT3G01200	0.04	0.05	-0.04	-0.05
AT3G01500	-0.83	-0.87	-0.02	0.44
AT3G14940	0.24	0.09	-0.17	-0.44
AT3G15020	0.13	0.04	0.02	-0.28
AT3G19490	0.02	-0.06	-0.01	0.04
AT4G00570	0.00	0.00	-0.01	0.01
AT4G15530	0.01	0.02	-0.09	0.04
AT4G21210	-0.35	-0.25	0.14	0.20
AT4G37870	0.16	0.10	-0.10	-0.29
AT5G09650	-0.12	-0.21	-0.03	0.23
AT5G14740	0.01	0.09	-0.05	-0.07
AT5G33320	0.09	0.00	-0.08	-0.03
AT5G38410	-0.58	-0.42	0.07	0.34
AT5G38420	-0.03	-0.05	0.02	0.04
AT5G38430	-1.09	-0.73	-0.11	0.47
AT5G46110	-0.25	-0.19	0.05	0.22
AT5G65690	0.13	-0.87	-0.05	0.22
