Source	Target	Weight
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg05646.1	0.0124152
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg05649.1	0.00270989
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg05727.1	0.00329144
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg05823.1	0.00601657
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg05977.1	0.0108583
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg05996.1	0.00105459
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg06087.1	0.00999623
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg06097.1	0.00861047
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg06265.1	0.012621
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg06271.1	0.00671897
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg06414.1	0.00952225
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg06448.1	0.00352732
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg06470.1	0.000947769
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg06743.1	0.000363558
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg06769.1	0.000892632
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07043.1	0.00365117
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07176.1	0.00701886
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07179.1	0.00483929
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07292.1	0.00359453
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07340.1	0.00251125
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07462.1	0.000784893
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07566.1	0.00598891
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07589.1	0.00287706
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07622.1	0.00136743
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07703.1	0.00581274
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07746.1	0.017771
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07797.1	0.0128694
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg07930.1	0.00272004
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg08045.1	0.00280618
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg08138.1	0.00180323
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg08294.1	0.00125788
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg08456.1	0.0439864
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg08751.1	0.00927028
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg08783.1	0.00989976
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg09065.1	0.0269133
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg09535.1	0.00249062
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg09630.1	0.00391419
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg09697.1	0.00212939
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg10375.1	0.00687948
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg10475.1	0.0126051
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg10493.1	0.00171739
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg10683.1	0.00267137
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg10686.1	0.00100014
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg10780.1	0.00252017
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg10833.1	0.000774434
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg10867.1	0.0105491
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg10874.1	0.0151142
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg10989.1	0.00131424
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg11056.1	0.00512745
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg11061.1	0.0013319
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg11338.1	0.000941058
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg11486.1	0.00164188
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg11622.1	0.00036682
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg11674.1	0.00141474
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg11755.1	0.00751237
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg11832.1	0.0059954
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg11881.1	0.0024192
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg11903.1	0.00982791
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg12002.1	0.00269613
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg12088.1	0.00515059
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg12255.1	0.004002
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg12256.1	0.000745226
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg12364.1	0.00163873
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg12420.1	0.00290322
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg12493.1	0.000584378
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg12667.1	0.00527302
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg12754.1	0.0140382
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg12864.1	0.00141383
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg12891.1	0.00231405
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg13027.1	0.0035528
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg13198.1	0.00263747
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg13274.1	0.0159394
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg13279.1	0.0126948
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg13403.1	0.0193524
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg13670.1	0.013703
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14266.1	0.0025418
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14276.1	0.00251998
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14362.1	0.000938917
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14365.1	0.0088332
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14369.1	0.00962516
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14370.1	0.000420999
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14436.1	0.00349007
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14611.1	0.000899669
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14663.1	0.00730613
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14779.1	0.00283353
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14828.1	0.00175821
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14887.1	0.00151695
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg14896.1	0.00267095
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15006.1	0.00102242
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15009.1	0.00191476
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15039.1	0.000374385
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15169.1	0.00267543
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15170.1	0.00506777
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15171.1	0.00206327
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15172.1	0.00191457
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15214.1	0.00362077
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15374.1	0.0265353
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15384.1	0.0258764
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15526.1	0.00181447
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15569.1	0.0205223
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15640.1	0.00246342
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg15969.1	0.00215204
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg16133.1	0.00304672
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg16160.1	0.00225995
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg16292.1	0.00232686
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg16610.1	0.00479049
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg16709.1	0.0133516
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg16884.1	0.00164335
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg16916.1	0.0093313
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg17007.1	0.000262731
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg17074.1	0.00377994
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg17141.1	0.00252457
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg17271.1	0.00325112
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg17471.1	0.00235925
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg17737.1	0.00818237
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg17764.1	0.00611647
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg17926.1	0.00042504
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg17995.1	0.0101946
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg18089.1	0.0100129
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg18125.1	0.0101854
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg18201.1	0.00316541
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg18225.1	0.00122334
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg18367.1	0.00241267
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg18374.1	0.0189338
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg18478.1	0.00102295
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg18498.1	0.0127304
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg18702.1	0.00221137
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg18799.1	0.00192978
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg18987.1	0.00378797
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg19135.1	0.00655935
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg19220.1	0.00435827
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg19586.1	0.000761993
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg19648.1	0.022528
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg19951.1	0.00717473
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg20015.1	0.00162733
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg20327.1	0.00275306
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg20428.1	0.00842984
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg20544.1	0.00607803
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg20554.1	0.00241962
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg20555.1	0.00114353
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg20588.1	0.000402654
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg20777.1	0.010865
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg21096.1	0.0141761
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg21481.1	0.00133726
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg21628.1	0.00450035
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg21765.1	0.000517291
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg22127.1	0.00148878
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg22134.1	0.00448234
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg22151.1	0.0218101
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg22203.1	0.00153647
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg22270.1	0.00156023
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg22277.1	0.012768
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg22409.1	0.00188989
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg22470.1	0.00438684
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg22523.1	0.00331128
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg22655.1	0.0220623
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23022.1	0.00397471
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23070.1	0.0171977
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23107.1	0.00679305
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23167.1	0.00648167
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23183.1	0.00207472
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23233.1	0.00472851
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23394.1	0.0197066
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23421.1	0.00197613
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23467.1	0.0252342
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23497.1	0.00258629
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23651.1	0.00971972
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23664.1	0.00610062
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg23927.1	0.00552034
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg24033.1	0.0101673
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg24108.1	0.00357585
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg24225.1	0.0044645
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg24337.1	0.00210141
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg24360.1	0.00211634
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg24485.1	0.00149691
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg24519.1	0.000510983
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg24730.1	0.00172571
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg24854.1	0.000655376
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg24890.1	0.00353504
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg25390.1	0.00053942
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg25757.1	0.00206961
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg25986.1	0.000933839
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg26015.1	0.000306221
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg26082.1	0.025891
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg26202.1	0.00160972
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg26466.1	0.00071111
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg26484.1	0.00558814
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg26923.1	0.00416474
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg26927.1	0.00163819
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg26968.1	0.00702291
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg26993.1	0.000809768
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg27004.1	0.00605424
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg27097.1	0.0079876
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg27135.1	0.00949272
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg27230.1	0.00457815
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg27240.1	0.00124533
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg27284.1	0.000389105
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg27316.1	0.0184014
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg27327.1	0.00174419
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg27606.1	0.0113412
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg27854.1	0.00204666
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg27918.1	0.00625319
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg27925.1	0.00272036
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg28021.1	0.00575681
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg28070.1	0.00904122
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg28102.1	0.0168754
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg28139.1	0.0045562
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg28451.1	0.00586744
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg28546.1	0.00238293
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg28592.1	0.0107404
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg28596.1	0.032149
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg28740.1	0.017629
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg28760.1	0.0236458
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg28779.1	0.00372265
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg28792.1	0.00214704
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg29345.1	0.00168059
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg29408.1	0.00935848
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg29418.1	0.00119538
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg29440.1	0.0201378
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	Cg29876.1	0.019627
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	maker-scaffold200.1-augustus-gene-2.29-mRNA-2	0.0140446
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	maker-scaffold2243.1-snap-gene-0.5-mRNA-1	0.00409073
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	maker-scaffold2262.1-snap-gene-0.10-mRNA-1	0.00209334
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	maker-scaffold555.1-snap-gene-1.4-mRNA-2	0.0112344
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	maker-scaffold727.1-snap-gene-1.31-mRNA-1	0.00173557
augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	snap_masked-scaffold31.1-processed-gene-12.17-mRNA-1	0.0280187
augustus_masked-scaffold205.1-processed-gene-4.1-mRNA-1	augustus_masked-scaffold16.1-processed-gene-13.1-mRNA-1	0.000700736
augustus_masked-scaffold205.1-processed-gene-4.1-mRNA-1	augustus_masked-scaffold205.1-processed-gene-4.1-mRNA-1	0.00059721
augustus_masked-scaffold205.1-processed-gene-4.1-mRNA-1	Cg00075.1	0.00541778
augustus_masked-scaffold205.1-processed-gene-4.1-mRNA-1	Cg00131.1	0.00438413
augustus_masked-scaffold205.1-processed-gene-4.1-mRNA-1	Cg00145.1	0.0047712
augustus_masked-scaffold205.1-processed-gene-4.1-mRNA-1	Cg00157.1	0.00156451
augustus_masked-scaffold205.1-processed-gene-4.1-mRNA-1	Cg00212.1	0.00396429
augustus_masked-scaffold205.1-processed-gene-4.1-mRNA-1	Cg00262.1	0.00601411
augustus_masked-scaffold205.1-processed-gene-4.1-mRNA-1	Cg00372.1	0.0202683
